Назва,Номер реєстраційної справи,Дата публікації,Назва підприємства,Статус,Область,КОАТУУ,Суб’єкт господарювання,Назва справи:,Опис планованої діяльності:,Дата слухання,Період слухання,Перевіряючий орган,Юридична адреса суб’єкта господарювання:,"Область, де планується діяльність",Завантажені документи,Отримані документи,Категорія,Деталі категорії,Кількість категорій,lat,lon
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СИСТЕМОЙЛІНЖЕНЕРІНГ""",20194193481,2019-04-23,,Оприлюдненно,Харківська область,Олексіївка,ЖЕРЕБКО СЕРГІЙ ГРИГОРОВИЧ,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СИСТЕМОЙЛІНЖЕНЕРІНГ""","Влаштування пошукової свердловини № 8 Водянівської площі, з метою пошуку покладів вуглеводнів та газів низькопроникних колекторів на Водянівській площі",,,УТО,"В адміністративних межах Олексіївської сільської ради Краснокутського району Харківської області, за межами населених пунктів",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 23 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3481/reports/a1f131c0f0c76ccab56e763fb74648f1.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 23 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3481/reports/84a29cd9f297ebbcefebf5d7238cf115.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 23 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3481/reports/aa4092f3decd35f6d1f489b55a0c7c12.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 27 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3481/reports/a5839abd031caa027fa9ab6974bdbcdf.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 4 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3481/reports/59cb453449220bcde4b994c70f1187ba.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 4 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3481/reports/54990cae1e7c654b44de02b75bf59b5d.pdf'}]",,,0,49.914912009127846,35.35381772888002
"АТ ""Укргазвидобування"", філія Управління з переробки газу та газового конденсату""",20194173459,2019-04-19,,Оприлюдненно,Харківська область,Першотравневе,Олійник Олена Петрівна,"АТ ""Укргазвидобування"", філія Управління з переробки газу та газового конденсату""",Будівництво установки поглибленого вилучення вуглеводнів на Хрестищенській ДКС,,,УЦО,"с. Першотравневе, Красноградського р-ну, Харківської області",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 19 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3459/reports/f52ecca7edbb6132c84ea8709dfa4ff4.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 28 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3459/reports/b14d53dee8866e040ea1cd03dc378bfb.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 28 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3459/reports/ef367c9fbca153534bdfaa0f49a6b27b.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 24 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3459/reports/4f83f45cf44486668c6f55b53b0be99a.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 13 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3459/reports/e8961c41441e7bc3fb02fbe941eccada.pdf'}]",,,0,49.54757182544698,35.467399754490884
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ШАХТА ПЕТРІВСЬКА""",20194123429,2019-04-12,,Оприлюдненно,Харківська область,Петрівська/с.Петрівське,Озюменко Олександр Юрійович,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ШАХТА ПЕТРІВСЬКА""","Видобування кам’яного вугілля з вугільного пласта  l3 на полі шахтоділянки ТОВ «Шахта Петрівська», в межах «Петровського куполу».",,,УЦО,"61072. Харківська обл. м. Харків. Дзержинський р-н. пр-т Науки, буд. 58. офіс 220",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 12 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3429/reports/41f6f8555c960eb75de973866410c194.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 31 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3429/reports/93b3be233991aadb5f2cb276b471ee09.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 31 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3429/reports/7e875a058ebfc17f203a0f410d122bbe.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 16 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3429/reports/741798b89d6c0832ec58492bd075fd07.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 15 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3429/reports/0d649b23712384ff9f01898918fef9a7.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 15 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3429/reports/aadff8620a2af9e947187b55924821ff.pdf'}]",,,0,49.16136396872201,36.89552290340612
"Шебелинське відділення з переробки газового конденсату і нафти Управління з переробки газу та газового конденсату філія АТ ""Укргазвидобування",20194123426,2019-04-12,,Оприлюдненно,Харківська область,Андріївка,Олійник Олена Петрівна,"Шебелинське відділення з переробки газового конденсату і нафти Управління з переробки газу та газового конденсату філія АТ ""Укргазвидобування",Будівництво установки ізомеризації з гідроочисткою легкої бензинової фракції ЛБФ (С5-С6),,,УЦО,"вул. Першотравнева, 141, смт. Андріївка, Балаклійського району Харківської області, 64220",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 12 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3426/reports/d91bb1b24d9ff9676f59e9f621ca52e9.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3426/reports/17ecec5a0da9c617f04bf9819f1b7693.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 червня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3426/reports/ba57b2184c64731773e5a838c7217c7b.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 16 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3426/reports/77a28458df0d100edad74c8c321e68f3.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 4 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3426/reports/dee4d137ffbfec92e51cbf899f547366.pdf'}]",,,0,49.55485304778575,36.630059480667114
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «УКРГАЗВИДОБУТОК»  код ЄДРПОУ 25635581,",20194113402,2019-04-11,,Оприлюдненно,Харківська область,Харківська обл.,Лоцкін Сергій Вікторович,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «УКРГАЗВИДОБУТОК»  код ЄДРПОУ 25635581,","Видобування та облаштування Островерхівського ГКР з метою розвідки і видобутку  вуглеводнів (газ природній, конденсат, супутні-гелій, етан, пропан, бутани): Буріння розвідув-ни св. №29, №30, пошукових №35,36",,,УЦО,"На території в межах адміністративного підпорядкування Мереф’янської об’єднаної територіальної громади Харківського району та Рокитненської сільської ради Нововодолазького району, Харківської області",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 11 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3402/reports/f35befc26fb508302fdc472fb6924e0f.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3402/reports/c08cf76484b8ff969cb1bb321fb01748.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3402/reports/9ca1a17043634e7f5451bde21abfdb5c.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 15 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3402/reports/48b5ce66b50e0cc68eb5ecc0e7987141.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 29 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3402/reports/11dbb1df59f289101640ff0cd1eb23a2.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 29 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3402/reports/3f538f4ae7dbfdf1988903f315be22a3.pdf'}]",,,0,49.79702935527779,36.00675270852207
Карайкозівське нафтогазоконденсатне родовище (НГКР),2019483357,2019-04-10,,Оприлюдненно,Харківська область,Качалівська/с.Качалівка,Бурдейний Тарас Олександрович,Карайкозівське нафтогазоконденсатне родовище (НГКР),"влаштування свердловин №№36,38,42 Карайкозівського НГКР для видобування вуглеводнів",,,УТО,за межами населених пунктів Качалівської сільської ради Краснокутського району Харківської області,Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 10 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3357/reports/9bed1b54912c1fea1162c75e65b8c8b3.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 13 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3357/reports/c43bfc4113d9eb56d513b9565f7e972d.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 13 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3357/reports/300d28e551e9809e3d2eda37695fa878.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 13 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3357/reports/5d1b8866f7a3d9448cf53c8783ead2f7.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 24 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3357/reports/aa6c16b2388f1952f5d9179fccf0ba14.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 24 жовтня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3357/reports/3c9ca1ed37b4e8e7dd7b63cfb95edce0.pdf'}]",,,0,50.02772200843024,35.16838654373646
Ракитнянське ГКР,2019483356,2019-04-10,,Оприлюдненно,Харківська область,Одринська/с.Одринка,Бурдейний Тарас Олександрович,Ракитнянське ГКР,Cпорудження та влаштування оціночно – експлуатаційної  свердловини № 9біс  Ракитнянського ГКР,,,УТО,"за межами населених пунктів с. Одринка, с. Кут Нововодолазького району Харківської обл.",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 10 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3356/reports/1c5c69c140b04587c81057076d54998d.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 6 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3356/reports/3f6dc8d9b939519ce6847cacc442047f.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 6 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3356/reports/5e5139e229a46654406af5d60f6e349c.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 14 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3356/reports/5ccef1e7a263e7cd2c7a46e89abd0940.jpeg'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 19 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3356/reports/e97fb309f0a8a336561220662cc45fdc.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 19 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3356/reports/7d9fe2dfe2811fb69d27da313cdc0631.pdf'}]",,,0,49.87383466724047,35.9039530684787
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ПРОМ-ЕНЕРГО ПРОДУКТ» код ЄДРПОУ 31747429,",2019443319,2019-04-04,,Оприлюдненно,Харківська область,Харківська/с.Харківка,ЛОЦКІН СЕРГІЙ ВІКТОРОВИЧ,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ПРОМ-ЕНЕРГО ПРОДУКТ» код ЄДРПОУ 31747429,","Видобування та облаштування Васищівського ГКР з метою розвідки і видобутку
вуглеводнів (газ природній, конденсат, супутні корисні компоненти - етан, пропан,
бутани):
Буріння розвідувальних свердловин №9,8,10,11",,,УЦО,"Харківська обл., Чугуївський район, адміністративне підпорядкування Введенській селищній раді та Старопокровській сільській раді",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 4 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3319/reports/98dc624298939d21213d7de51376d824.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3319/reports/2b6ae785510a1612a613f7046ecd17f3.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3319/reports/224ca3b8d165b8de02179b4fb5e383a1.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 13 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3319/reports/31c058b4040c9f72c359122e69d6ee44.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 20 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3319/reports/ce30ab39896461814951db497ff6cd0d.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 20 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3319/reports/593b5f9d15b2cf4e6ee1d2ee3c58e269.pdf'}]",,,0,49.83711445170186,36.50439453125
"Акціонерне товариство ""Укргазвидобування""",20193293252,2019-03-29,,Оприлюдненно,Харківська область,Краснокутський р-н/смт Краснокутськ,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування""",Продовження видобування вуглеводнів Степового родовища,,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 29 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3252/reports/bf08f2c9df8d8dbd441187382674ba57.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 22 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3252/reports/05ceadda80e4940206ac462f057ca79b.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 22 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3252/reports/311c7028b646d2c50afa8b6c26a728b0.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 14 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3252/reports/217bae1a64205c43f54427106c68c913.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3252/reports/d92cdca7b02b34c9ed87ce4535a274ca.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3252/reports/f59e0b350839ee9a709a102d2bc0012d.pdf'}]",,,0,,
"Акціонерне товариство ""Укргазвидобування""",20193293251,2019-03-29,,Оприлюдненно,Харківська область,Коломацький р-н/смт Коломак,Сердюченко Олексій Володимирович,"Акціонерне товариство ""Укргазвидобування""",Продовження видобування вуглеводнів Кисівського родовища,,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 29 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3251/reports/8cdcb1e8a72ea65b6045b074024d0ced.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 22 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3251/reports/24e669aceec538b169db8a02ac45967f.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 22 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3251/reports/db12a06be5d65c1a5affdb9eae0403bb.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 14 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3251/reports/60e5eb2b659973ec0de37ba9dc93a1eb.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3251/reports/242dcc616addecfce89f221366e5e2a1.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 4 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3251/reports/6dd08b1f7d7d25f7c7af44baf07f4461.pdf'}]",,,0,,
"с. Черкаські Тишки, вул. Піщана, буд. 6., Харківський р-н,  Харківська область Підприємство з фасування пестицидів і агрохімікатів ТОВ «ЮНІПАК.»",20193193123,2019-03-21,,Оприлюдненно,Харківська область,Черкаські тишки,ШКАРЛІНСЬКИЙ ВОЛОДИМИР ОЛЕГОВИЧ,"с. Черкаські Тишки, вул. Піщана, буд. 6., Харківський р-н,  Харківська область Підприємство з фасування пестицидів і агрохімікатів ТОВ «ЮНІПАК.»",Фасування і складування пестицидів і агрохімікатів з метою реалізації кінцевому споживачу.,,,УТО,"62240, Харківська область, Харківський     район, с. Черкаські Тишки, вул. Піщана, буд. 6.",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 21 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3123/reports/11ea619b5a7bd7fd7147487f9a4d077d.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 10 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3123/reports/70589617f9473c9d722999b0c186d62f.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 10 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3123/reports/f13cb0ffb95dad7777ec975d16866dbf.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 18 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3123/reports/157513bde5f29d8e22f16dae0e27fb9c.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 19 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3123/reports/bb1d694f5107deefa70cfe3243f6381a.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 19 вересня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3123/reports/e88f9a8f9f9663caa1652e623123bf23.pdf'}]",,,0,50.11510356205084,36.37657408148425
Деркачівсько-Войтенківська площа,20193153108,2019-03-18,,Оприлюдненно,Харківська область,Селища міського типу Валківського р-ну,Бурдейний Тарас Олександрович,Деркачівсько-Войтенківська площа,Cпорудження пошукової свердловини № 3 Деркачівсько-Войтенківської площі. Влаштування свердловини №3 з підключенням до УПГ Журавлиного ГКР.,,,УТО,в адміністративних  межах Валківського та Богодухівського району,Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3108/reports/21ef32f01698777de1014c09e3893b01.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 15 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3108/reports/967ff89ac2f5f86f97c25fb6a87f405b.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 15 травня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3108/reports/429b56a4da11e9b126057a5ed15c10fa.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 16 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3108/reports/bbe660d70fa737e4cef874b9cb2129b1.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 24 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3108/reports/47f5eac9109e05cf62a6d83b789298b7.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 24 липня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3108/reports/b2376e0ae173f8a098c1ccca733d1322.pdf'}]",,,0,49.966627463547795,35.51588551735017
"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",20193113031,2019-03-11,,Оприлюдненно,Харківська область,Сільради Зміївського р-ну,Сердюченко Олексій Володимирович,"АТ ""Укргазвидобування"" філія газопромислове управління ""Шебелинкагазвидобування""",Спорудження свердловин,,,УТО,"64250, вул. Стадіонна, 9, смт. Донець, Балаклійський район, Харківська область",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 11 березня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3031/reports/1588c667b3d5de85bc7be59c0e2cffae.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 29 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3031/reports/a0bd922d06251adcc9ba7711f7991c56.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 29 серпня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3031/reports/c6df228ea44382d2bc827cd79f46e09a.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 9 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3031/reports/5481a7ef477db8cb1ad5493fb37a6418.jpeg'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 4 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3031/reports/6aa22a95465cceb2f0dcc567cabdf2cb.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 4 листопада 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/3031/reports/ce2470e9ec30ec1f1b7b81b595885710.pdf'}]",,,0,,
